11,10 MIL+ Video Mode
12,20 MIL + Laser Kick
13,30 MIL +  Shark
14,50 MIL + Lite Ex Ball
15,100 MIL + Earthquake
16,Search and Resue Mystery
17,Ball Launch Button
18,Ex Ball Buy-in/League Button
21,Shoot Again
22,Left Turbo Bumper
23,Shark Super VUK
24,Right Ramp Enter
25,Spell Ironman
26,Shark Flip
27,Laser (S-U Targ)
28,Kick (S-U Targ)
31,(S)HARK
32,S(H)ARK
33,SH(A)RK
34,SHA(R)K
35,SHAR(K)
36,LITE
37,LOCK
38,SQUID POPS
41,Special (RT &LT)
42,Laser Kick
43,Shark Jackpot
44,Jackpot Side Ramp
45,Helicopter
46,Extra Ball
47,Wave Runner
48,Scarab
51,Lock 1
52,Lock 2
53,Lock 3
54,ATV
55,Rescue Truck
56,(S)PF
57,S(P)F
58,SP(F)
61,(G)UARD
62,Mitch
63,CPR
64,Surf Board Left Ramp
65,G(U)ARD
66,Matt
67,Copter Rescue
68,Surf Board Center Ramp
71,GU(A)RD
72,C.J.
73,Diver Trapped
74,Surf Board Upper VUK
75,GUA(R)D
76,Caroline
77,Shark Cove
78,Surf Board Right Ramp
81,GUAR(D)
82,Stephanie
83,Tidal Wave
84,Surf Board Spinner
85,Tidal Wave Left Orbit
86,Earthquake (Upper VUK)
87,Tidal Wave Spinner
88,Start Button
