11,LITES LOCK ON
12,LITES RELEASE
13,HOT STREAK
14,FLY AGAIN
15,RESCUE (Left)
16,KILL
17,RESCUE (Right)
18,RESCUE (Kicker)
21,ALPHA KILL
22,BRAVO KILL
23,CHARLIE KILL
24,DELTA KILL
25,ECHO KILL
26,FOX KILL
27,GOLF KILL
28,FLIGHT INSURANCE
31,1K
32,2K
33,4K
34,8K
35,16K
36,32K
37,64K
38,SPECIAL (Both)
41,2X
42,3X
43,4X
44,5X
45,6X
46,7X
47,8X
48,BONUS X (Left)
51,(Lower) T
52,(Lower) O
53,(Lower) M
54,(Lower) T
55,(Lower) A
56,(Lower) C
57,LITES KILL (Both)
58,LANDING
61,3
62,2
63,1
64,4
65,5
66,6
67,RELEASE
68,LOCK ON
71,(Upper) T
72,(Upper) O
73,(Upper) M
74,(Upper) T
75,(Upper) A
76,(Upper) C
77,BONUS X (Right)
78,2000
81,MACH 3
82,MACH 2
83,MACH 1
84,LANDING 3
85,LANDING 2
86,LANDING 1
87,RIPOFF
88,EXTRA BALL
