11,Mode Start
12,Hand of Fate
13,Eject Extra Ball
14,Ad(v)enture Light
15,A(d)venture Light
16,(A)dventure Light
17,Shoot Again
18,Get the Idol
21,Tank Chase
22,Adven(t)ure Light
23,Adv(e)nture Light
24,Adve(n)ture Light
25,Steal the Stones
26,Grail Jackpot
27,Street of Cairo
28,Stones Jackpot
31,Left Ramp Arrow
32,Castle Grunewald
33,Left Plane Top
34,Monkey Brains
35,Left Plane Middle
36,Sallah
37,Bonus 4X
38,Left Plane Bottom
41,Mine Cart
42,Ark Jackpot
43,Raven Bar
44,Right Plane Middle
45,Bonus 6X
46,Right Plane Bottom
47,Well of Souls
48,Left Loop
51,Choose Wisely
52,Right Plane Top
53,Rope Bridge
54,Advent(u)re Light
55,Adventu(r)e Light
56,Adventur(e) Light
57,The 3 Challenges
58,Right Loop
61,(I)NDY
62,I(N)DY
63,IN(D)Y
64,IND(Y)
65,Willie
66,Bonus 2X
67,Shorty
68,Right Ramp Arrow
71,Mini Top Left
72,Mini Top Right
73,Mini Mid Top Left
74,Mini Mid Top Right
75,Mini Top Arrow
76,Marion
77,Bonus 8X
78,Dr Jones
81,Mini Mid Bot Left
82,Mini Mid Bot Right
83,Mini Bottom Left
84,Mini Bottom Right
85,Mini Bottom Arrow
86,Totem Top Arrow
87,Center Lock
88,Start Button
