11,Top L Bank Bot
12,Top L Bank Mid
13,Top L Bank Top
14,Top R Bank Top
15,Top R Bank Mid
16,Top R Bank Bot
17,R Recycle
18,R Crane H.U.
21,R 3-Bank Top
22,R 3-Bank Mid
23,R 3-Bank Bot
24,L Bank Bot
25,L Bank Mid
26,L Bank Top
27,Fan
28,Bath Tub
31,Jackpot
32,Super Jackpot
33,Multiball
34,Wrecking Ball
35,Radar Adventure
36,Jalopy Race
37,Toilet Adventure
38,A.T.C. Adventure
41,Gen. Bus
42,Toast
43,Magic Bus
44,Collect Junk
45,Coo Coo Clock
46,Television
47,Weather Vane
48,Fish Bowl
51,Gen. Toilet
52,Window Shoppin
53,L Recycle
54,L Crane H.U.
55,Shoot Again
56,Not Used
57,Toaster
58,Hair Dryer
61,Propeller
62,Outer Space
63,DO(G)
64,(D)OG
65,D(O)G
66,Choose Junk
67,Angel Sling(2)
68,Bicycles
71,Time Machine
72,Start Adventure
73,Extra Ball
74,Toast
75,Gen. Sewer
76,Toaster Gun
77,Gen. Alley
78,Devil Sling(2)
81,*Fireworks
82,*Toxic Waste
83,*Light Extra Ball
84,*Free Game
85,*Light Jackpot
86,*Gen. Crane
87,Not Used
88,Start Button
