11,Grid: Find Benedict
12,Grid: LAST
13,Grid: ACTION
14,Grid: HERO
15,Grid: Super Crane
16,Left Pop
17,Center Pop
18,Right Pop
21,Grid: Blow Out
22,Grid: Go to the Movies
23,Grid: Save Danny
24,Grid: Lite Extra Ball
25,Grid: Cat Millions
26,Grid: To the Roof
27,Grid: Red Eye
28,Grid: Big Mistake
31,Crane: C
32,Crane: R
33,Crane: A
34,Crane: N
35,Crane: E
36,Cat Target
37,Left Ramp / Light Dynamite
38,Wild Card
41,Benedict Eye Top
42,Benedict Eye Middle
43,Benedict Eye Bottom
44,Top Rollover Left
45,Top Rollover Middle
46,Top Rollover Right
47,Captive Ball (2)
48,Ticket
51,Shield Left
52,Shield Left Center
53,Shield Right Center
54,Shield Right
55,More Time
56,Extra Ball
57,M-Ball
58,Return Lanes (2)
61,Spinner
62,Chicken
63,Outlanes (2)
64,The Roof
65,Jackpot
66,Ripper
67,Save Danny
68,Right Scoop
71,Shoot Again
72,Ball Lock Right
73,Ball Lock Left
74,Left Scoop / Left
75,Left Scoop / Right
76,Middle Scoop / Left
77,Shoot Crane
78,Middle Scoop / Right
81,Smart Missle
82,Ripper: R
83,Ripper: I
84,Ripper: P
85,Ripper: P
86,Ripper: E
87,Ripper: R
88,Credit Button
