11,Salt Lake
12,Denver
13,Butte
14,Minnesota
15,Kansas City
16,New York City
17,Ohio
18,Chicago
21,Los Angeles
22,Las Vegas
23,Albuquerque
24,Dallas
25,New Orleans
26,Nashville
27,Atlanta
28,Miami
31,San Francisco
32,Seattle
33,Left Special
34,Shoot Here L. Loop
35,Shoot Again
36,Right Special
37,Blasting Zone
38,Shoot Here R. Ramp
41,Bad Weather
42,Jets At Max
43,Radio
44,Million Plus Wheel
45,Big Millions
46,Light Special
47,Light Big Blast
48,Flying Rocks
51,Monday
52,Spinner At Max
53,Hold Bonus
54,Light Ex. B. Wheel
55,Lunch Time
56,Bob's Freebie
57,Shoot Here L. Ramp
58,You're There
61,Wednesday
62,Tuesday
63,Thursday
64,Friday
65,Lock
66,Extra Ball
67,Shoot Here R. Loop
68,Light Bob's
71,Bonus 6X
72,Bonus 5X
73,Bonus 4X
74,Bonus 3X
75,Bonus 2X
76,Light Ex. B. Lower
77,Start City
78,Million Plus R. Ramp
81,Flying Rocks 5X Blast
82,Flying Rocks Radio Riot
83,Flying Rocks Ex. Ball
84,Left Bridge Out
85,Bob's Bunker
86,Right Bridge Out
87,Buy-In Button
88,Start Button
