01,2X Bonus
02,3X Bonus
03,4X Bonus
04,5X Bonus
05,5X + Lite Extra
06,Dunk the Dummy
07,Spin and Bump
08,Right Outlane
09,Left Outlane
10,Super Dunk
11,Power Ride
12,Toss Your Cookies
13,Dancing Digits
14,Lock 1
15,Multiball
16,Lock 2
17,Lite Map
18,Wheel Jackpot
19,2X Spin
20,Wheel Red
21,Wheel Yellow
22,Wheel Green
23,Shoot Again
24,Map
25,Snack Stand "?"
26,Fries Stand
27,Cotton Candy
28,Burger Stand
29,Drink Stand
30,(E) A T
31,E (A) T
32,E A (T)
33,Lite Spin
34,Chicago Loop Lock
35,Chicago Loop Jackpot
36,Loop Power Ride
37,Chicago Loop Green
38,Chicago Loop Yellow
39,Chicago Loop Red
40,Park Tycoon
41,Extra Ball
42,Flying Turns Jackpot
43,Multiball Start
44,Flying Turns Green
45,Flying Turns Yellow
46,Flying Turns Red
47,Puke
48,Start Fun
49,Lite Fun
50,Ghost Jackpot
51,Ghost Power Ride
52,Super Jackpot
53,Ghost Green
54,Ghost Yellow
55,Ghost Red
56,Ghost Standup
57,Left Bumper
58,Right Bumper
59,Bottom Bumper
60,Add Ride
61,(R) & D
62,R (&) D
63,R & (D)
64,Start Button
65,Back Panel 1 (Left)
66,Back Panel 2
67,Back Panel 3
68,Back Panel 4
69,Back Panel 5
70,Left Top Lane (A)
71,Middle Top Lane (B)
72,Right Top Lane (C)
73,Back Panel 6
74,Back Panel 7
75,Back Panel 8
76,Back Panel 9
77,Back Panel 10 (Right)
78,Troll Lit X2
79,5000 w/Flashing
80,Tournament Button
