11,Game Over
12,Match
13,Tilt
14,High Score to Date
15,Shoot Again (Insert)
16,Ball in Play
17,Shoot Again (Playfield)
18,Playfield Special
21,(S)ORCERER
22,S(O)RCERER
23,SO(R)CERER
24,SOR(C)ERER
25,SORC(E)RER
26,SORCE(R)ER
27,SORCER(E)R
28,SORCERE(R)
31,A
32,B
33,C
34,D
35,Extra Ball
36,Bonus Hold Over
37,Demon
38,Left Drain
41,Right Drain
42,Left Flipper Ret
43,Right Flipper Ret
44,All Scores 2X
45,All Scores 3X
46,All Scores 5X
47,Light Below S
48,Light Below R
51,1
52,2
53,3
54,4
55,5
56,6
57,7
58,8
61,9
62,10
63,20
64,30
65,40
66,50
67,Lock
68,Release
71,2X
72,4X
73,6X
74,8X
75,Left Drop Target
76,Center Drop Target
77,Right Drop Target
78,Backglass Effect
81,Backglass Effect
82,Backglass Effect
83,Backglass Effect
84,Backglass Effect
85,Backglass Sorcerer Art
86,Backglass Sorcerer Art
87,Backglass Sorcerer Art
88,Backglass Sorcerer Art
